UID,Student Name,Email,Parent Phone,Class Name,Section,Campus
KYC041JO,Mohd Abdul Obaid Ansari  ,mohd.abdul.obaid.ansari@gmail.com,9874182501,Grade 8th,Adobe,Yamuna Campus
KYC04ED3,MOHAMMAD ABDUL SUHAIB,mohammad.abdul.suhaib@gmail.com,9874182502,Grade 8th,Adobe,Yamuna Campus
KYC0I19S,MOHAMMED ABDUL ALI SIDDIQUI,mohammed.abdul.ali.siddiqui@gmail.com,9874182503,Grade 8th,Adobe,Yamuna Campus
KYC10EN9,Mohammed Azher Hussain  ,mohammed.azher.hussain@gmail.com,9874182504,Grade 8th,Adobe,Yamuna Campus
KYC16L3D,SHAIK TALHA ,shaik.talha@gmail.com,9874182505,Grade 8th,Adobe,Yamuna Campus
KYC2HC99,MOHAMMED AYAN SHARJEEL,mohammed.ayan.sharjeel@gmail.com,9874182506,Grade 8th,Adobe,Yamuna Campus
KYC31W5S,MOHAMMAD RAYAN WASFI,mohammad.rayan.wasfi@gmail.com,9874182507,Grade 8th,Adobe,Yamuna Campus
KYC32LZ7,MOHAMMAD ANAS ASLAM,mohammad.anas.aslam@gmail.com,9874182508,Grade 8th,Adobe,Yamuna Campus
KYC54IR5,MD FAIZ ,md.faiz@gmail.com,9874182509,Grade 8th,Adobe,Yamuna Campus
KYC56O9W,MOHAMMED ABDUL AQEEL,mohammed.abdul.aqeel@gmail.com,9874182510,Grade 8th,Adobe,Yamuna Campus
KYC5R15H,SHAIK SHAZAAD AHMED,shaik.shazaad.ahmed@gmail.com,9874182511,Grade 8th,Adobe,Yamuna Campus
KYC672TP,MOHAMMAD FEHAN UDDIN,mohammad.fehan.uddin@gmail.com,9874182512,Grade 8th,Adobe,Yamuna Campus
KYC714MO,SHAIK SHARIK AHAMED,shaik.sharik.ahamed@gmail.com,9874182513,Grade 8th,Adobe,Yamuna Campus
KYC781DM,Mohammed Abdul Huzaif  ,mohammed.abdul.huzaif@gmail.com,9874182514,Grade 8th,Adobe,Yamuna Campus
KYC7LE94,ABDUL  SHADAN,abdul.shadan@gmail.com,9874182515,Grade 8th,Adobe,Yamuna Campus
KYC7PL44,MD FAIZAN ALI,md.faizan.ali@gmail.com,9874182516,Grade 8th,Adobe,Yamuna Campus
KYC7XC27,MOHAMMAD ABDUL FARHAN,mohammad.abdul.farhan@gmail.com,9874182517,Grade 8th,Adobe,Yamuna Campus
KYC8U1X0,Mohd Siyaam Uddin  ,mohd.siyaam.uddin@gmail.com,9874182518,Grade 8th,Adobe,Yamuna Campus
KYC981EK,MOHAMMED ALYAAN UDDIN SIDDIQUI,mohammed.alyaan.uddin.siddiqui@gmail.com,9874182519,Grade 8th,Adobe,Yamuna Campus
KYC99Y4B,ARMAAN  RAFIQUI,armaan.rafiqui@gmail.com,9874182520,Grade 8th,Adobe,Yamuna Campus
KYC9PT32,SAAD  AHMED,saad.ahmed@gmail.com,9874182521,Grade 8th,Adobe,Yamuna Campus
KYCAP590,MOHAMMED SAFWAN AHMED,mohammed.safwan.ahmed@gmail.com,9874182522,Grade 8th,Adobe,Yamuna Campus
KYCD23G2,MD  SHOAIB,md.shoaib@gmail.com,9874182523,Grade 8th,Adobe,Yamuna Campus
KYCF83T3,MOHAMMED TAJAMMUL MALIK,mohammed.tajammul.malik@gmail.com,9874182524,Grade 8th,Adobe,Yamuna Campus
KYCK7O79,Md Abdul Arhan  ,md.abdul.arhan@gmail.com,9874182525,Grade 8th,Adobe,Yamuna Campus
KYCL1M37,DAYAAN LABEEB KHAN,dayaan.labeeb.khan@gmail.com,9874182526,Grade 8th,Adobe,Yamuna Campus
KYCOM370,MOHAMMED ASWAN AARISH,mohammed.aswan.aarish@gmail.com,9874182527,Grade 8th,Adobe,Yamuna Campus
KYCP21S2,SAUD SAJAZ AHMED,saud.sajaz.ahmed@gmail.com,9874182528,Grade 8th,Adobe,Yamuna Campus
KYCW238W,SHAIK  AWEZ,shaik.awez@gmail.com,9874182529,Grade 8th,Adobe,Yamuna Campus
KYCX3Q53,AFRAZ HUSSAIN ,afraz.hussain@gmail.com,9874182530,Grade 8th,Adobe,Yamuna Campus
KYCX41D1,ABDUL MALIK  ,abdul.malik@gmail.com,9874182531,Grade 8th,Adobe,Yamuna Campus
KYCZ459K,MD.FAHAD  SHAIK,md.fahad.shaik@gmail.com,9874182532,Grade 8th,Adobe,Yamuna Campus
KYC05G4C,SUSHANTH REDDY  BHOOMAI GARI,sushanth.reddy.bhoomai@gmail.com,9874182533,Grade 8th,Mahindra,Yamuna Campus
KYC0J6B2,J VISHWANTH GOUD,j.vishwanth.goud@gmail.com,9874182534,Grade 8th,Mahindra,Yamuna Campus
KYC160JX,M  VEERESH,m.veeresh@gmail.com,9874182535,Grade 8th,Mahindra,Yamuna Campus
KYC27WY6,BADDU YUVA ,baddu.yuva@gmail.com,9874182536,Grade 8th,Mahindra,Yamuna Campus
KYC2R30B,HARSHITH JADAV BADAVAT,harshith.jadav.badavat@gmail.com,9874182537,Grade 8th,Mahindra,Yamuna Campus
KYC437ZZ,HARSHA VARDHAN M,harsha.vardhan.m@gmail.com,9874182538,Grade 8th,Mahindra,Yamuna Campus
KYC47R5O,MANOJ GOUD B,manoj.goud.b@gmail.com,9874182539,Grade 8th,Mahindra,Yamuna Campus
KYC47SK2,BAI  MANIT,bai.manit@gmail.com,9874182540,Grade 8th,Mahindra,Yamuna Campus
KYC4N71L,SOMESH  B,somesh.b@gmail.com,9874182541,Grade 8th,Mahindra,Yamuna Campus
KYC4P23L,SHEKAR  A,shekar.a@gmail.com,9874182542,Grade 8th,Mahindra,Yamuna Campus
KYC5PE67,SHASHIKANTH REDDY N,shashikanth.reddy.n@gmail.com,9874182543,Grade 8th,Mahindra,Yamuna Campus
KYC66JH3,RAMMA  HARICHARAN,ramma.haricharan@gmail.com,9874182544,Grade 8th,Mahindra,Yamuna Campus
KYC74J8W,BAIRANGONI VYSHVIK GOUD,bairangoni.vyshvik.goud@gmail.com,9874182545,Grade 8th,Mahindra,Yamuna Campus
KYC74LW7,DYAVATHI MANVIK TEJ,dyavathi.manvik.tej@gmail.com,9874182546,Grade 8th,Mahindra,Yamuna Campus
KYC7YQ99,DEEKSHITH KUMAR YELLA,deekshith.kumar.yella@gmail.com,9874182547,Grade 8th,Mahindra,Yamuna Campus
KYC8B37U,SHASHIDHAR  P,shashidhar.p@gmail.com,9874182548,Grade 8th,Mahindra,Yamuna Campus
KYC8J4N3,CH KATHIKEYA  (left),ch.karthikeya@gmail.com,9874182549,Grade 8th,Mahindra,Yamuna Campus
KYCB123U,VIGNESH GOUD TEGALA,vignesh.goud.tegala@gmail.com,9874182550,Grade 8th,Mahindra,Yamuna Campus
KYCB7G99,KRUTHIK  K,kruthik.k@gmail.com,9874182551,Grade 8th,Mahindra,Yamuna Campus
KYCCL779,S  AKSHITH,s.akshith@gmail.com,9874182552,Grade 8th,Mahindra,Yamuna Campus
KYCH148R,ABBAGONI SAI CHARAN GOUD,abbagoni.sai.charan.goud@gmail.com,9874182553,Grade 8th,Mahindra,Yamuna Campus
KYCHR033,RANVEER GOUD P,ranveer.goud.p@gmail.com,9874182554,Grade 8th,Mahindra,Yamuna Campus
KYCLQ111,KRISHNA CHAITHANYA  ,krishna.chaithanya@gmail.com,9874182555,Grade 8th,Mahindra,Yamuna Campus
KYCM1X82,UDAY  G,uday.g@gmail.com,9874182556,Grade 8th,Mahindra,Yamuna Campus
KYCO576P,MANI CHARAN A,mani.charan.a@gmail.com,9874182557,Grade 8th,Mahindra,Yamuna Campus
KYCR5A96,MANOJ  RATHOD,manoj.rathod@gmail.com,9874182558,Grade 8th,Mahindra,Yamuna Campus
KYCSO405,RAGHAVA  B,raghava.b@gmail.com,9874182559,Grade 8th,Mahindra,Yamuna Campus
KYCY8N34,SUDHARSHAN  R,sudharshan.r@gmail.com,9874182560,Grade 8th,Mahindra,Yamuna Campus
KYCZ6U07,ERRA SRIVARDHAN ,erra.srivardhan@gmail.com,9874182561,Grade 8th,Mahindra,Yamuna Campus
KYCZF370,D VIREN NAYAK,d.viren.nayak@gmail.com,9874182562,Grade 8th,Mahindra,Yamuna Campus
KYC06ZZ6,MADHU  A,madhu.a@gmail.com,9874182563,Grade 8th,Verizon,Yamuna Campus
KYC07HB4,VEDANTH  MASAKAR,vedanth.masakar@gmail.com,9874182564,Grade 8th,Verizon,Yamuna Campus
KYC0BG06,MOKSHA  A,moksha.a@gmail.com,9874182565,Grade 8th,Verizon,Yamuna Campus
KYC2J03G,SAINATH  B,sainath.b@gmail.com,9874182566,Grade 8th,Verizon,Yamuna Campus
KYC2KT30,ABHINAY  M,abhinay.m@gmail.com,9874182567,Grade 8th,Verizon,Yamuna Campus
KYC32IG0,CHARAN NAYAK A,charan.nayak.a@gmail.com,9874182568,Grade 8th,Verizon,Yamuna Campus
KYC4J9D5,P  HARSHAVARDHAN,p.harshavardhan@gmail.com,9874182569,Grade 8th,Verizon,Yamuna Campus
KYC4N38M,DUNNA  KARSHITH,dunna.karshith@gmail.com,9874182570,Grade 8th,Verizon,Yamuna Campus
KYC554AT,JELLA  PRANADEEP,jella.pranadeep@gmail.com,9874182571,Grade 8th,Verizon,Yamuna Campus
KYC57CY4,MANOHAR  S,manohar.s@gmail.com,9874182572,Grade 8th,Verizon,Yamuna Campus
KYC6A15N,NIHAL  CH,nihal.ch@gmail.com,9874182573,Grade 8th,Verizon,Yamuna Campus
KYC6F4W7,RISHIKESH  K,rishikesh.k@gmail.com,9874182574,Grade 8th,Verizon,Yamuna Campus
KYC6Z7H5,JANGAM AKIRA KARTHIKEYA,jangam.akira.karthikeya@gmail.com,9874182575,Grade 8th,Verizon,Yamuna Campus
KYC74PH0,KATARI  PRANAY,katari.pranay@gmail.com,9874182576,Grade 8th,Verizon,Yamuna Campus
