UID,Student Name,Email,Parent Phone,Class Name,Section,Campus
KYC007MD,SHAIK FOUZAN,shaik.fouzan01@gmail.com,9874162401,Grade 6th,Adobe,Yamuna Campus
KYC137GB,SHAIK TAHA SULEMAN,shaik.taha.suleman02@gmail.com,9825316402,Grade 6th,Adobe,Yamuna Campus
KYC1T1S3,MOHAMMED ABDUL AARIZ,mohammed.abdul.aariz03@gmail.com,9846135203,Grade 6th,Adobe,Yamuna Campus
KYC307UD,SYED SARJEEL ALI,syed.sarjeel.ali04@gmail.com,9865423204,Grade 6th,Adobe,Yamuna Campus
KYC36AC9,MD MERAJ,md.meraj05@gmail.com,9896415705,Grade 6th,Adobe,Yamuna Campus
KYC37UH5,MUZAKIR AHMED MOHAMMED,muzakir.ahmed.mohammed06@gmail.com,9817546306,Grade 6th,Adobe,Yamuna Campus
KYC486BA,MOHAMMAD SIRAJ,mohammad.siraj07@gmail.com,9824136607,Grade 6th,Adobe,Yamuna Campus
KYC4FY34,SHAIK SULEMAN,shaik.suleman08@gmail.com,9875423108,Grade 6th,Adobe,Yamuna Campus
KYC4P01A,MOHAMMED AHIL SAFDER,mohammed.ahil.safder09@gmail.com,9856413709,Grade 6th,Adobe,Yamuna Campus
KYC50PT5,SHAIK AYAAN,shaik.ayaan10@gmail.com,9894721500,Grade 6th,Adobe,Yamuna Campus
KYC55ZV2,MOHAMMED ISHRAQ,mohammed.ishraq11@gmail.com,9816245701,Grade 6th,Adobe,Yamuna Campus
KYC5C1J6,SHAIK MOHSIN,shaik.mohsin12@gmail.com,9847532102,Grade 6th,Adobe,Yamuna Campus
KYC6B2H7,SUBODH NARAYAN WAGHMARE,subodh.narayam.waghmare13@gmail.com,9864215703,Grade 6th,Adobe,Yamuna Campus
KYC6C01T,MOHAMMED ABDUL MAJEED,mohammed.abdul.majeed14@gmail.com,9874523104,Grade 6th,Adobe,Yamuna Campus
KYC6WN36,MOHAMMED IBAAD UDDIN,mohammed.ibaad.uddin15@gmail.com,9825461305,Grade 6th,Adobe,Yamuna Campus
KYC73O9M,MOHAMMED ABUBAKKAR,mohammed.abubakkar16@gmail.com,9854126706,Grade 6th,Adobe,Yamuna Campus
KYC7OO01,SHAIK AHIL,shaik.ahil17@gmail.com,9896742307,Grade 6th,Adobe,Yamuna Campus
KYC81B1Z,MANMATH PATIL,manmath.patil18@gmail.com,9847263508,Grade 6th,Adobe,Yamuna Campus
KYC830GC,SHAIK SAAD IBRAHIM,shaik.saad.ibrahim19@gmail.com,9865147309,Grade 6th,Adobe,Yamuna Campus
KYC9K1P5,ABBUBAKAR MOHAMMED,abbubakar.mohammed20@gmail.com,9876532100,Grade 6th,Adobe,Yamuna Campus
KYCA67L5,MOHAMMED SOHAIL,mohammed.sohail21@gmail.com,9824316501,Grade 6th,Adobe,Yamuna Campus
KYCK71U5,MALIK FAIZ UR RAHMAN,malik.faizurrahman22@gmail.com,9847562102,Grade 6th,Adobe,Yamuna Campus
KYCKL726,SYED AYAAN,syed.ayaan23@gmail.com,9865742103,Grade 6th,Adobe,Yamuna Campus
KYCR710T,MOHD ABDUL ONAIS AHMED,mohd.abdul.onais.ahmed24@gmail.com,9816452304,Grade 6th,Adobe,Yamuna Campus
KYCS37F8,AZHAR HUSSAIN,azhar.hussain25@gmail.com,9895176405,Grade 6th,Adobe,Yamuna Campus
KYCV107D,SHAIK ANZAR AHMED,shaik.anzar.ahmed26@gmail.com,9842136706,Grade 6th,Adobe,Yamuna Campus
KYCV145C,ARHAN NIZAM UDDIN,arhan.nizam.uddin27@gmail.com,9875642107,Grade 6th,Adobe,Yamuna Campus
KYCW60M1,SHAIK SOHAIL TANVEER,shaik.sohail.tanveer28@gmail.com,9824365708,Grade 6th,Adobe,Yamuna Campus
KYCZ344V,SAFWAN KHAN,safwan.khan29@gmail.com,9865743109,Grade 6th,Adobe,Yamuna Campus
